n_scenarios,n_projects,repetition,maxowa_time,minowa_regret_time
5,20,45,0.021272659301757812,0.07657265663146973
5,20,46,0.019692182540893555,0.06431388854980469
5,20,47,0.025183439254760742,0.07998204231262207
5,20,48,0.020934104919433594,0.07248234748840332
5,20,49,0.019494056701660156,0.07101941108703613
5,20,50,0.024757862091064453,0.07776069641113281
5,25,1,0.02124500274658203,0.0657804012298584
5,25,2,0.023109912872314453,0.07373499870300293
5,25,3,0.021973133087158203,0.07903909683227539
5,25,4,0.024280309677124023,0.07046627998352051
5,25,5,0.029108285903930664,0.08584308624267578
5,25,6,0.021857023239135742,0.07318353652954102
5,25,7,0.020031213760375977,0.07432103157043457
5,25,8,0.029280662536621094,0.08182072639465332
5,25,9,0.02042388916015625,0.07512211799621582
5,25,10,0.024251699447631836,0.08074545860290527
5,25,11,0.02628779411315918,0.07913875579833984
5,25,12,0.02161264419555664,0.0760047435760498
5,25,13,0.025614500045776367,0.06779718399047852
5,25,14,0.025813579559326172,0.07628369331359863
5,25,15,0.021997451782226562,0.06701397895812988
5,25,16,0.02113962173461914,0.07638692855834961
5,25,17,0.021048307418823242,0.07994914054870605
5,25,18,0.027719736099243164,0.07339072227478027
5,25,19,0.02185654640197754,0.06678485870361328
5,25,20,0.022920608520507812,0.07067990303039551
5,25,21,0.022339344024658203,0.08280420303344727
5,25,22,0.021528005599975586,0.07175874710083008
5,25,23,0.024240493774414062,0.0655670166015625
5,25,24,0.022257089614868164,0.07881832122802734
5,25,25,0.027328968048095703,0.08337545394897461
5,25,26,0.023110151290893555,0.07603335380554199
5,25,27,0.023454904556274414,0.08530497550964355
5,25,28,0.028260231018066406,0.08270835876464844
5,25,29,0.021843433380126953,0.07863950729370117
5,25,30,0.025586605072021484,0.08328413963317871
5,25,31,0.022117137908935547,0.0657958984375
5,25,32,0.026137828826904297,0.07837462425231934
5,25,33,0.029889583587646484,0.07797408103942871
5,25,34,0.022789716720581055,0.07070112228393555
5,25,35,0.03065633773803711,0.07629823684692383
5,25,36,0.025654315948486328,0.08019018173217773
5,25,37,0.025633811950683594,0.0814809799194336
5,25,38,0.023543834686279297,0.07035446166992188
5,25,39,0.024655580520629883,0.0761573314666748
5,25,40,0.026096343994140625,0.07909870147705078
5,25,41,0.02449488639831543,0.0834503173828125
5,25,42,0.022749900817871094,0.08371186256408691
5,25,43,0.021161556243896484,0.06806015968322754
5,25,44,0.02009105682373047,0.06479763984680176
5,25,45,0.020884037017822266,0.07199358940124512
5,25,46,0.02570056915283203,0.08492064476013184
5,25,47,0.02843761444091797,0.08974146842956543
5,25,48,0.025136709213256836,0.07677888870239258
5,25,49,0.02375626564025879,0.07010054588317871
5,25,50,0.023367881774902344,0.07934331893920898
5,30,1,0.027068376541137695,0.08633160591125488
5,30,2,0.024378061294555664,0.07605767250061035
5,30,3,0.04274749755859375,0.08305668830871582
5,30,4,0.025632143020629883,0.0794076919555664
5,30,5,0.025400400161743164,0.08774089813232422
5,30,6,0.03180837631225586,0.09430456161499023
5,30,7,0.024148225784301758,0.08176207542419434
5,30,8,0.029981613159179688,0.08373618125915527
5,30,9,0.027005672454833984,0.09796905517578125
5,30,10,0.022788286209106445,0.07294416427612305
5,30,11,0.02889847755432129,0.08658456802368164
5,30,12,0.027489662170410156,0.08498263359069824
5,30,13,0.024494409561157227,0.0905923843383789
5,30,14,0.022729158401489258,0.07593178749084473
5,30,15,0.021444082260131836,0.07809734344482422
5,30,16,0.022393465042114258,0.06916356086730957
5,30,17,0.03120875358581543,0.11367678642272949
5,30,18,0.025548934936523438,0.08828544616699219
5,30,19,0.024483680725097656,0.06879663467407227
5,30,20,0.025597095489501953,0.07332515716552734
5,30,21,0.026079416275024414,0.09021830558776855
5,30,22,0.023264646530151367,0.08894824981689453
5,30,23,0.023445606231689453,0.07284212112426758
5,30,24,0.027570009231567383,0.07834386825561523
5,30,25,0.024960994720458984,0.08430171012878418
5,30,26,0.026289701461791992,0.08643817901611328
5,30,27,0.02811717987060547,0.08348941802978516
5,30,28,0.03476285934448242,0.09127640724182129
5,30,29,0.028265953063964844,0.07757282257080078
5,30,30,0.030225038528442383,0.08280515670776367
5,30,31,0.02494359016418457,0.07001090049743652
5,30,32,0.02573227882385254,0.08125758171081543
5,30,33,0.0322113037109375,0.0794992446899414
5,30,34,0.025979995727539062,0.09322524070739746
5,30,35,0.025613069534301758,0.08280611038208008
5,30,36,0.03062748908996582,0.0880582332611084
5,30,37,0.021726131439208984,0.08409810066223145
5,30,38,0.020563840866088867,0.07023406028747559
5,30,39,0.022684097290039062,0.08359241485595703
5,30,40,0.024653911590576172,0.07487082481384277
5,30,41,0.03574848175048828,0.09254956245422363
5,30,42,0.03029632568359375,0.08523416519165039
5,30,43,0.025589942932128906,0.0736393928527832
5,30,44,0.03148055076599121,0.0855402946472168
5,30,45,0.025319814682006836,0.08809900283813477
5,30,46,0.027070045471191406,0.09245991706848145
5,30,47,0.022946596145629883,0.06992697715759277
5,30,48,0.03186225891113281,0.0941624641418457
5,30,49,0.02690410614013672,0.07680439949035645
5,30,50,0.0259249210357666,0.07918953895568848
5,35,1,0.03491353988647461,0.0908193588256836
5,35,2,0.03210592269897461,0.07840275764465332
5,35,3,0.024340152740478516,0.07196617126464844
5,35,4,0.03196454048156738,0.10409164428710938
5,35,5,0.027283191680908203,0.08953571319580078
5,35,6,0.03135967254638672,0.09333562850952148
5,35,7,0.0325312614440918,0.08926081657409668
5,35,8,0.03466463088989258,0.08923816680908203
5,35,9,0.02581644058227539,0.09509801864624023
5,35,10,0.024855613708496094,0.09150552749633789
5,35,11,0.028306245803833008,0.07694387435913086
5,35,12,0.029163837432861328,0.08809733390808105
5,35,13,0.02830219268798828,0.07761907577514648
5,35,14,0.03480267524719238,0.09549331665039062
5,35,15,0.029101848602294922,0.09732961654663086
5,35,16,0.029703140258789062,0.08368468284606934
5,35,17,0.03784632682800293,0.08861589431762695
5,35,18,0.024184226989746094,0.08430933952331543
5,35,19,0.03139781951904297,0.10072684288024902
5,35,20,0.03289794921875,0.09609007835388184
5,35,21,0.027898073196411133,0.08930540084838867
5,35,22,0.06888794898986816,0.12554454803466797
5,35,23,0.030159950256347656,0.09748244285583496
5,35,24,0.027161121368408203,0.09366726875305176
5,35,25,0.04398751258850098,0.1040487289428711
5,35,26,0.028196096420288086,0.08164834976196289
5,35,27,0.0272066593170166,0.09906721115112305
5,35,28,0.023840665817260742,0.08834075927734375
5,35,29,0.03944873809814453,0.08254313468933105
5,35,30,0.025986194610595703,0.0872488021850586
5,35,31,0.02572345733642578,0.08828854560852051
5,35,32,0.03040313720703125,0.09681820869445801
5,35,33,0.04191946983337402,0.11015677452087402
5,35,34,0.047002315521240234,0.08738231658935547
5,35,35,0.03148341178894043,0.09560370445251465
5,35,36,0.027895689010620117,0.09116864204406738
5,35,37,0.02560877799987793,0.09567666053771973
5,35,38,0.029894590377807617,0.07764387130737305
5,35,39,0.029605865478515625,0.0965580940246582
5,35,40,0.0289609432220459,0.09403872489929199
5,35,41,0.04952073097229004,0.08921551704406738
5,35,42,0.03713679313659668,0.08963608741760254
5,35,43,0.03277325630187988,0.11422467231750488
5,35,44,0.031117677688598633,0.08324956893920898
5,35,45,0.02733016014099121,0.08112597465515137
5,35,46,0.029501914978027344,0.09019255638122559
5,35,47,0.02725815773010254,0.07797932624816895
5,35,48,0.026711702346801758,0.0859527587890625
5,35,49,0.025438785552978516,0.08149361610412598
5,35,50,0.030483722686767578,0.08343386650085449
5,40,1,0.040056467056274414,0.0922853946685791
5,40,2,0.033330678939819336,0.08993816375732422
5,40,3,0.04674863815307617,0.10548043251037598
5,40,4,0.04068255424499512,0.12109899520874023
5,40,5,0.040868520736694336,0.10709881782531738
5,40,6,0.058298587799072266,0.11763215065002441
5,40,7,0.02628326416015625,0.0955500602722168
5,40,8,0.029888153076171875,0.10151982307434082
5,40,9,0.05559206008911133,0.10001492500305176
5,40,10,0.03690505027770996,0.08425235748291016
5,40,11,0.03547215461730957,0.08876824378967285
5,40,12,0.02603745460510254,0.0859687328338623
5,40,13,0.03159928321838379,0.09018945693969727
5,40,14,0.038810014724731445,0.09114456176757812
5,40,15,0.03758382797241211,0.08490228652954102
5,40,16,0.04000735282897949,0.08524036407470703
